sparsity,reservoir,ro,input_scale,ridge penalty,train mse,val mse
0.1,741,1,0.4,4.2,0.00698906620880992,0.00720176864284136
0.4,327,0.1,0.2,1.9,0.0252445879107145,0.0256118770025541
0.3,302,0.5,0.9,8.6,0.00808195795213621,0.00853295343329607
1,737,0.3,0.2,6.3,0.0285913544588434,0.0285753182431198
0.3,505,0.7,0.5,2.4,0.00578158345158126,0.00617658491081097
0.8,958,0.1,0.7,7.3,0.0250048271832213,0.0255142986005872
0.2,91,0.9,1,0.6,0.00545334089353047,0.00569737434712912
0.3,204,0.3,0.3,4.2,0.0175612235665195,0.0179930338355169
0.2,335,0.6,1,8.1,0.00659453114755528,0.00702765098734427
0.9,106,0.6,0.5,3.7,0.00704753694553963,0.00747012911662251
1,603,0.1,0.9,2.5,0.0234921565334696,0.0240414865089836
0.5,679,0.6,0.8,1.5,0.00552947871732675,0.00589620516531416
0.7,244,0.2,0.9,8.5,0.01999196385851,0.0205016737705798
0.7,392,0.1,0.9,1.2,0.0198961481382112,0.020417797622157
0.4,407,0.2,1,0.1,0.00753529022369377,0.00784839478796632
1,700,1,0.2,7.8,0.00723364893163564,0.00743873764663274
0.8,321,0.4,1,5.3,0.00900683382258196,0.00942722178505085
0.5,348,0.9,0.9,3.2,0.00558260723892295,0.00587097811757332
0.6,21,0.2,0.1,7.9,0.0526212620714211,0.0515741300966487
1,849,0.8,0.4,4.8,0.00586891078997574,0.00622515306620393
0.5,918,1,0.6,8,0.00696564617035681,0.00717486180334761
0.1,57,1,0.5,4.7,0.00662233218473008,0.00681039829946696
0.8,23,0.7,0.7,2.2,0.0052507200156455,0.00559520165445459
0.9,893,0.1,1,0.6,0.0164907012485558,0.0169679208313559
0.6,784,0.6,0.2,9.4,0.0144576153946752,0.0146651097819433
0.5,19,0.6,0.9,3.7,0.00560094186947819,0.00595945253672089
1,748,0.7,0.2,3.1,0.00911650171851825,0.00950357764011578
0.6,935,0.6,0.7,9.5,0.00736733284156979,0.00780175799154403
0.4,62,0.2,0.4,4.7,0.0206872008695573,0.0211526189912002
0.4,973,0.4,0.1,4.1,0.0289588687525367,0.0286844938255966
0.6,27,0.8,0.1,4.9,0.00878605536784098,0.00903799017551537
0.6,914,0.1,0.6,6.9,0.0247294009711812,0.0252212276303986
0.8,502,1,0.6,9.4,0.00691988642898558,0.0071272267742182
0.8,359,0.5,1,10,0.00819342405229086,0.00862274871700128
0.9,857,0.2,0.2,9.4,0.0347045188805419,0.0344265829524232
1,983,0.6,0.4,2.6,0.00771698836263401,0.00814495777329675
0.6,916,0.8,0.3,3.1,0.00583034107216183,0.0061920086033959
0.5,480,0.8,1,3.1,0.00533822568501012,0.00566756817173699
0.2,147,0.2,0.3,7.8,0.0222504837974421,0.0225320446811869
0.2,443,0.7,0.5,3.5,0.00617929837197762,0.00659552021088798
0.8,77,0.7,0.7,3.5,0.00547454019480295,0.00584370253638702
1,272,0.8,0.3,8.8,0.00695847037126623,0.00731160002842283
0.5,387,0.2,0.5,9.7,0.0219630421126679,0.022385258355258
0.2,577,0.1,0.5,6.1,0.0237624899556425,0.0242414628557171
0.8,350,0.7,0.2,6.4,0.009927203460865,0.0102607672061517
0.4,576,0.6,0.1,6.9,0.0229577998018914,0.0227709773279103
0.3,685,0.2,0.2,0.4,0.018563717912391,0.0190852885758763
0.7,524,0.7,0.7,1.8,0.00539968909249094,0.00576274081343756
0.6,336,0.8,0.6,2.5,0.00538424311470692,0.00572096882657108
0.5,111,0.7,0.5,4.6,0.00608560747376973,0.00648621922828447
0.3,754,0.1,0.8,9.2,0.0236748843605023,0.0241944821198678
0.7,242,0.7,1,7.9,0.00558174982207945,0.00595689993847618
0.8,761,0.1,0.3,6.5,0.0275859820893074,0.0278252090261749
0.2,872,0.8,0.9,4.1,0.00544277037700965,0.0057854086645701
0.3,772,0.5,0.7,1.4,0.00620732974656708,0.00659289261439879
0.5,910,0.9,0.3,3.3,0.00576776039105851,0.0060757634097295
0.6,465,0.2,0.8,3.5,0.0174249846822584,0.0179272796121516
0.1,234,0.7,0.9,10,0.0064892428700928,0.00691900527669138
0.6,671,1,0.1,9,0.00728398250658751,0.00748479360244426
0.3,474,0.4,0.2,1.8,0.0139432251434585,0.0143968516663144
0.8,405,0.7,0.9,4.7,0.00548567467213914,0.00585548512714398
0.4,493,0.4,0.5,1.2,0.00830867820390087,0.00873134537753322
0.3,544,0.6,0.1,7.4,0.0223699407423344,0.0221948366566395
0.1,326,0.8,0.9,2.2,0.0054367212024467,0.00577608314307444
0.2,929,0.2,0.1,0.1,0.0185665268855651,0.019095089548078
0.4,389,0.6,0.8,6.9,0.00649598412785735,0.00691700658177229
0.1,908,0.6,0.8,1.6,0.00597913129141721,0.00638693184941977
0.1,257,0.2,0.1,8.6,0.0503852394985994,0.0493882821237334
0.8,260,0.7,0.3,7.3,0.00830597873704969,0.00870247414799388
0.3,126,0.6,0.8,6.3,0.00649808005813036,0.00692112761484984
0.5,356,0.4,0.4,1.9,0.0108852917679453,0.0113479082498143
0.4,195,0.4,0.3,7.4,0.0159270137412729,0.0162928411295844
0.2,539,0.7,1,6.6,0.00576683036019292,0.00616213897237583
0.4,850,1,0.1,9.9,0.00728295779419812,0.00748411164864714
0.1,832,0.8,0.8,6,0.00574991709185111,0.00611458897425153
0.3,496,0.6,0.9,1.9,0.0055755064947801,0.00594879217194253
0.7,235,0.8,0.3,8.8,0.00649559137333235,0.00685842666402824
0.1,126,1,0.1,8.7,0.00710431575302945,0.00731846190463386
0.2,125,0.5,0.6,5.3,0.00893483850128812,0.00940871518575721
1,328,0.7,1,8.2,0.00567100353598615,0.00604816645917256
0.5,361,0.4,0.7,4.2,0.00985473711699731,0.0103033542308244
0.3,169,0.5,0.4,6.3,0.010615298372909,0.0110831744507783
0.1,35,0.9,0.8,5.3,0.00574043290801217,0.00598446730075643
0.6,779,0.8,0.5,9.5,0.00587433472819985,0.00623684090053109
0.1,66,0.6,1,0.3,0.00540623020601148,0.00574886814599133
0.6,328,0.5,0.3,6.6,0.013029158806818,0.0134294650648635
0.4,443,1,0.3,4.2,0.00703150598193324,0.00724394361334577
0.7,88,0.1,0.1,5.3,0.0494880834357944,0.048603156527347
1,285,0.3,0.6,5.4,0.0186175118227175,0.019101612005821
0.8,677,0.6,1,4.5,0.0057700116644436,0.00615093756711982
1,516,0.3,0.7,4.6,0.0163687656379829,0.0168530746854248
0.3,28,0.1,0.1,0.9,0.0269315928474118,0.0271248352226909
