delays,units,,,train mse,val mse
1,1,3,3,0.00259168189737412,0.00255049771187898
1,6,9,,1.56654421983776e-05,1.50810688043963e-05
1,3,,,0.00434256706371593,0.00432508803054561
1,10,9,2,3.7343872631173e-06,3.96038499059179e-06
1,2,4,,0.00259302535402447,0.00261442807936489
1,10,1,,0.000660965580650194,0.000693393788930304
1,7,6,5,6.58361320746101e-06,6.5612883355618e-06
1,8,,,0.00175340196797194,0.00183609990255807
1,7,7,,2.68061903229422e-05,2.71572050125292e-05
1,8,8,,4.86234894219998e-06,5.27606873010769e-06
1,6,8,7,6.75478587902846e-07,6.94049518408931e-07
1,2,6,2,0.00394827612552302,0.00400553062997904
1,4,,,0.00430514710959495,0.00432445218182801
1,4,2,9,2.72264934832525e-05,2.69636363511471e-05
1,1,6,6,0.000149864555665759,0.000146261048818839
1,5,,,0.00337356937589988,0.00337078790749829
1,8,6,,2.5616284101247e-05,2.52232611391106e-05
1,10,4,,7.12011069927012e-05,7.05869601965462e-05
1,1,10,7,2.33785011677097e-06,2.32262717855059e-06
1,3,7,1,0.0023634662140062,0.00231818452000546
1,5,1,,0.00342051887175658,0.00352938405768223
1,5,,,0.00345799209409561,0.00354352692323129
1,1,1,9,0.00431268686149035,0.00433025319052346
1,9,8,,2.78807848821768e-06,3.07226345148681e-06
1,1,10,,0.00120254293468777,0.00122149089901301
1,4,10,,2.44208625243403e-05,2.387320672649e-05
1,8,,,0.002444758038181,0.00267892224433399
1,1,1,,0.00743621346805852,0.00751548206222057
1,7,9,,2.77638110176253e-05,2.83039646172603e-05
1,9,,,0.0012567446086198,0.00130137117934348
1,10,6,4,6.17884806724109e-06,5.98878905032076e-06
1,4,6,6,9.55421143213681e-06,9.67674291673507e-06
1,6,4,,0.00105623049859232,0.00117861044499553
1,1,7,,0.00185014370675058,0.00193424322514195
1,9,5,1,5.95998197646322e-07,5.9821207302146e-07
1,7,,,0.0023865660073116,0.00238356496516241
1,5,8,8,1.6236545857238e-07,1.88389270260476e-07
1,5,3,5,0.00167222791129831,0.0016985206856074
1,3,,,0.00438336995197842,0.00432754525580883
1,10,3,,2.60064733722515e-05,2.61626862056961e-05
1,9,,,0.00231335152306789,0.00240351591330041
1,9,,,0.00092971210238239,0.00100044126260442
1,10,,,0.000545361180194245,0.000601042044200347
1,8,5,7,5.33923268194616e-06,5.54719449362585e-06
1,4,4,2,0.00192644505067783,0.00192158695005458
1,1,,,0.00601884093148326,0.00578613479923358
1,4,3,3,0.00336690947169487,0.00335899995501066
1,1,7,,0.00227369625775187,0.0023076126846852
1,1,,,0.00696171329788946,0.00710832928134011
1,8,,,0.0013971581016151,0.00144487165533379
1,4,,,0.00434483677566338,0.00432639259613915
1,4,5,,0.00158478965195142,0.00162373166036619
1,6,2,9,6.69181166063923e-06,6.81256797050892e-06
1,5,9,,2.91386355254198e-05,2.92910127283263e-05
1,5,,,0.0043607798107817,0.00432349399347222
1,2,9,3,6.97913087082249e-05,6.82350898097493e-05
1,2,,,0.00437695272671021,0.00432025742475568
1,7,,,0.0017251993552765,0.00177825737676123
1,4,8,3,9.57877282434181e-06,7.1301910964482e-06
1,5,3,9,2.93413638298928e-06,3.04950217357883e-06
1,5,9,,5.83220194790888e-05,5.83490153357608e-05
1,1,5,9,1.65854461589467e-06,1.62754033662037e-06
1,6,2,,0.00335389550915579,0.00326668369911373
1,10,2,1,2.68046106402674e-05,2.70568962394529e-05
1,10,9,,2.24567892652319e-06,2.40119260129763e-06
1,1,,,0.00601875248915856,0.00578609299350099
1,5,,,0.00272694866270126,0.00272076384318026
1,5,6,8,3.43022894662652e-06,3.40333936195682e-06
1,4,2,4,0.00285688012924741,0.00282443680829591
1,10,2,3,0.00184364891470595,0.00182192929654889
1,1,,,0.00601873715800909,0.00578608603563907
1,8,,,0.00118635316394423,0.00116474254080819
1,7,5,,0.00250652218828014,0.00272251130536349
1,6,1,2,0.00336380891493788,0.00342275631452338
1,10,,,0.000933735271456832,0.0010031159190544
1,6,1,6,0.00128316723961706,0.00132675906315785
1,7,,,0.0032165746669672,0.00326251413328818
1,2,,,0.00438281704515318,0.00432569897601944
1,7,5,2,0.00434628657965705,0.00433914133280988
1,2,9,5,0.00739249696875409,0.00752223138349785
1,10,,,0.000852862183894429,0.000843355716338329
1,10,,,0.000512570127496845,0.000566850515370238
1,3,8,10,8.58814336297264e-08,8.55641316084047e-08
1,6,,,0.00185591263260974,0.00190122169830788
1,6,5,,0.000961255250304478,0.00104165809582782
1,6,,,0.00281057680404111,0.00291511858368288
1,9,4,4,1.4856380388977e-05,1.55005849760892e-05
1,10,5,,1.19876306134194e-05,1.13960944588941e-05
1,3,9,,4.59986499968975e-05,4.39786669314277e-05
1,1,7,2,0.00189606090315415,0.00185988359879575
1,6,7,10,2.70869878599065e-06,2.87897531402017e-06
1,7,,,0.00281372463783844,0.0029777923871186
1,10,9,,1.80122998625111e-06,1.93306666295295e-06
1,8,6,,3.34633322598036e-05,3.30667654254386e-05
1,10,7,,8.13949947428679e-08,8.81622371208515e-08
1,10,,,0.00052225831924187,0.000562658509376394
1,8,6,,2.25600460811988e-05,2.21306422265689e-05
1,5,8,6,2.95072513998275e-05,2.92204519607663e-05
1,6,3,,0.00182057734724851,0.00185614670875318
1,8,5,,5.39919889919082e-06,5.78418192118649e-06
