delay,units,,,,,train mse,val mse
16,7,5,,,,0.0074017435587925,0.00716364185158414
2,4,4,2,9,9,0.00719586714737091,0.00721586217428054
20,5,,,,,0.0073893564752935,0.00735625661184771
18,7,9,9,,,0.00745606501471882,0.00772448057377434
6,10,3,,,,0.00743597055119132,0.00766968281964239
2,8,3,10,6,9,0.00720770113538463,0.00721007421403514
19,8,2,1,1,,0.00740935943555926,0.00762051525682951
11,3,,,,,0.00720472654081209,0.0067913975087057
4,4,2,10,1,,0.00742261161844821,0.00735612448669638
9,4,9,1,4,,0.00734137218808723,0.00760657155084761
11,3,7,5,9,9,0.00708011354794776,0.00703774765129054
17,7,2,,,,0.00751713285799798,0.00721085022032145
7,8,6,5,,,0.00737974555784234,0.00762913368553323
16,5,,,,,0.00748894079929369,0.00723628220661475
17,2,9,1,,,0.00734778469947151,0.00745370785903722
3,1,9,9,2,3,0.00751859598472118,0.00736958324582399
13,1,,,,,0.00730132272876813,0.0076705807228833
16,8,,,,,0.00733149811363879,0.00741187209901043
16,6,7,3,6,4,0.00734414285767182,0.00755866421808218
16,6,,,,,0.00742713040969389,0.00758950877261565
13,8,,,,,0.00746456352858165,0.0074802584821593
1,7,,,,,0.00470656030602899,0.00427565891277075
6,6,7,9,,,0.00743911774254004,0.00716701525221054
5,7,4,4,6,10,0.00733526977685681,0.00799775895326133
12,6,1,,,,0.0072996261189723,0.00765229389980257
6,6,,,,,0.00752847114257611,0.00704340557315321
20,4,,,,,0.00728488669308531,0.00754203558494924
19,9,4,4,,,0.00738693307756844,0.00752511118277435
13,7,2,4,1,,0.00740935861609053,0.00734306639182694
1,4,2,,,,0.00464252155146791,0.00455688426889034
16,3,6,10,10,,0.00742839245423734,0.00745205848001949
9,4,,,,,0.00733250020156986,0.00744123684566329
5,3,10,5,6,5,0.00748126584732771,0.00741236630876889
17,6,4,1,8,10,0.00740908511038704,0.00747244715997777
16,6,6,9,,,0.00735620182226787,0.00741630210681399
8,8,7,8,5,,0.00726708057676433,0.00774743429215746
7,10,4,9,,,0.00744417169306759,0.00761956633518392
1,5,3,10,8,,0.00468501014005532,0.00489593033718947
13,7,10,9,4,,0.00752645707330813,0.00726791783005618
18,6,7,8,10,,0.00742641787712147,0.00740562024881138
11,4,8,8,,,0.00714863139461956,0.00737830867371751
4,6,6,,,,0.0073472278212576,0.00796394788448869
14,2,7,,,,0.00738619637703177,0.00756112972016393
15,6,5,4,,,0.00756010006802322,0.00714988912346426
18,8,,,,,0.00751781913789879,0.00717713840241254
14,3,1,,,,0.00731822650116305,0.0080387566447517
16,3,9,6,6,3,0.00744576151265584,0.00747918361379017
6,10,6,10,10,,0.00742380309812145,0.0074672000001349
5,2,6,6,,,0.00750199867678418,0.00741129261551911
7,7,9,1,10,,0.00751972024852948,0.00741143839995801
3,10,9,2,8,10,0.00746716689673896,0.00766084175582814
19,7,1,5,,,0.00739573082190773,0.00743423867014716
7,3,,,,,0.00734052091455674,0.00722724338009684
7,3,,,,,0.00734889163793766,0.00759469283220188
11,9,10,6,8,,0.00715528033648605,0.00698399200758424
4,8,4,,,,0.00739752044442404,0.00752371109430378
12,10,4,6,10,6,0.0073275671713151,0.00773701025966399
2,7,,,,,0.00723815517994331,0.00706100441537745
18,4,,,,,0.0074082154708583,0.00733089900489452
1,5,10,1,,,0.00475757039391921,0.00445050825225754
13,10,10,2,2,8,0.00732288074854409,0.00747275553070508
1,7,9,1,,,0.0046272800539002,0.00463250620198654
16,3,6,,,,0.00753104384359204,0.00721123105568699
20,5,9,,,,0.0073517229033104,0.00779706387058417
